label,mean,median,variance,max,min,count
unknown,,,,,,0
sentiment_analysis.audio ,0.7211961643628556,0.6057870001532137,0.20625870714876113,3.252710000029765,0.26349900010973215,146
stt-convert-wavfile ,135.06290127413212,100.84583600005135,10353.652148805762,522.1682489998639,31.516256999922916,62
request:01JTQMMBW5Z95YHYFN5DRWV8R2 cancelled,78223.0211590007,78223.0211590007,,78223.0211590007,78223.0211590007,1
stt google,887.9707584862681,729.974068999989,342702.63611599046,4498.68716500001,359.3679430000484,146
llm.embeddings openai/text-embedding-3-small,1544.0801277947312,1278.6890670000575,1293428.0417225861,6965.512828000123,323.4005379998125,190
embeddings.search ,743.7884039348029,656.2885880001122,144247.1664716196,2510.9743170002475,335.13312400016,92
llm.send:chat::E6W30 openai/gpt-4o,437.0038640005514,437.0038640005514,,437.0038640005514,437.0038640005514,1
llm.chat:chat ,1360.7112945869412,444.9028094995301,10205059.468653293,46004.16734700001,2.1761529999785125,230
avatar request,4135.348464163019,3290.6420685000485,24725621.31781107,48885.754325999966,1358.2423010000493,92
